query,query time 1Gb,query time 2Gb
1,3660.0,19800
2,3.981,6.252
3,0.667,0.313
4,
5,2.607,2.451
6,201.0,406.0
7,2.348,1.574
8,0.764,1.166
9,3.356,5.458
10,2.322,3.412
11,2763.0,9720
12,0.324,0.390
13,0.641,1.064
14,95.0,242.0
15,0.378,1.040
16,1.989,22.858
17,8.104,60.903
18,0.628,1.295
19,0.387,1.185
20,0.389,0.577
21,1.825,1.948
22,17.653,45.394
23,11.477,42.789
24,0.898,2.776
25,5.023,40.322
26,0.521,1.907
27,0.826,3.012
28,1.857,8.287
29,3.515,25.214
30,13.912,128.0
31,11.593,36.426
32,0.372,0.624
33,0.647,1.600
34,0.491,1.091
35,0.784,3.567
36,0.808,4.018
37,0.204,0.344
38,2.409,11.209
39,12.078,40.455
40,0.380,0.936
41,1.155,5.320
42,0.381,1.470
43,0.568,2.749
44,1.104,5.490
45,0.322,0.362
46,0.477,1.114
47,1016,2286
48,2.124,1.702
49,0.384,0.529
50,0.271,0.306
51,2.793,5.863
52,0.378,0.787
53,0.924,3.689
54,1.190,1.457
55,0.718,0.755
56,2.249,5.583
57,527.0,1434.0
58,1.150,3.107
59,2.572,4.981
60,8.481,18.188
61,0.399,0.335
62,0.504,1.114
63,1.725,2.232
64,0.896,2.256
65,1.776,3.894
66,0.551,1.714
67,18.115,41.664
68,0.781,0.810
69,1.798,1.835
70,1.619,3.184
71,1.132,1.569
72,2.855,2.813
73,0.513,0.845
74,285.0,375.0
75,2.731,5.500
76,0.589,2.545
77,1.453,2.542
78,20.378,37.733
79,0.504,1.114
80,1.052,2.329
81,128.0,538.0
82,0.266,0.204
83,0.347,0.393
84,0.298,0.321
85,0.430,1.017
86,0.527,0.989
87,5.523,14.506
88,3.835,8.916
89,0.459,1.799
90,0.457,0.916
91,0.369,0.314
92,0.306,0.469
93,0.463,0.506
94,0.529,2.990
95,60.020,229.0
96,0.693,0.544
97,2.137,2.386
98,1.693,0.642
99,1.489,1.143
