query,Postgre_1Gb,Postgre_2Gb,Pentaho_1Gb,Pentaho_2Gb
1,3660.0,19800
2,3.981,6.252,2.640
3,0.667,0.313,0.076
4,
5,2.607,2.451,1.117
6,201.0,406.0,115.234
7,2.348,1.574,0.741
8,0.764,1.166,0.507
9,3.356,5.458,2.401
10,2.322,3.412,1.275
11,2763.0,9720
12,0.324,0.390,0.125
13,0.641,1.064,0.520
14,95.0,242.0,86.606
15,0.378,1.040,0.250
16,1.989,22.858,1.765
17,8.104,60.903,7.732
18,0.628,1.295,0.500
19,0.387,1.185,0.310
20,0.389,0.577,0.203
21,1.825,1.948,0.719
22,17.653,45.394,16.558
23,11.477,42.789,11.373
24,0.898,2.776,0.844
25,5.023,40.322,4.749
26,0.521,1.907,0.484
27,0.826,3.012,1.124
28,1.857,8.287,1.953
29,3.515,25.214,3.546
30,13.912,128.0,12.653
31,11.593,36.426,10.670
32,0.372,0.624,0.250
33,0.647,1.600,0.547
34,0.491,1.091,0.422
35,0.784,3.567,1.036
36,0.808,4.018,0.734
37,0.204,0.344,0.062
38,2.409,11.209,2.327
39,12.078,40.455,12.033
40,0.380,0.936,0.204
41,1.155,5.320,0.984
42,0.381,1.470,0.264
43,0.568,2.749,0.578
44,1.104,5.490,1.140
45,0.322,0.362,0.157
46,0.477,1.114,0.500
47,1016,2286,800.923
48,2.124,1.702,1.001
49,0.384,0.529,0.391
50,0.271,0.306,0.125
51,2.793,5.863,1.937
52,0.378,0.787,0.281
53,0.924,3.689,0.625
54,1.190,1.457,0.625
55,0.718,0.755,0.328
56,2.249,5.583,1.312
57,527.0,1434.0,197.044
58,1.150,3.107,0.609
59,2.572,4.981,1.203
60,8.481,18.188,4.059
61,0.399,0.335,0.222
62,0.504,1.114,0.282
63,1.725,2.232,0.688
64,0.896,2.256,0.672
65,1.776,3.894,0.999
66,0.551,1.714,0.375
67,18.115,41.664,8.967
68,0.781,0.810,0.312
69,1.798,1.835,0.703
70,1.619,3.184,0.796
71,1.132,1.569,0.484
72,2.855,2.813,0.641
73,0.513,0.845,0.265
74,285.0,375.0,115.927
75,2.731,5.500,1.516
76,0.589,2.545,0.484
77,1.453,2.542,0.750
78,20.378,37.733,9.826
79,0.504,1.114,0.406
80,1.052,2.329,0.688
81,128.0,538.0,56.237
82,0.266,0.204,0.094
83,0.347,0.393,0.515
84,0.298,0.321,0.109
85,0.430,1.017,0.410
86,0.527,0.989,0.266
87,5.523,14.506,2.577
88,3.835,8.916,2.015
89,0.459,1.799,0.422
90,0.457,0.916,0.218
91,0.369,0.314,0.344
92,0.306,0.469,0.156
93,0.463,0.506,0.609
94,0.529,2.990,0.438
95,60.020,229.0,33.690
96,0.693,0.544,0.375
97,2.137,2.386,1.140
98,1.693,0.642,0.312,
99,1.489,1.143,0.500,1.093
